Soil_Type,pH_Level,Nitrogen,Phosphorus,Potassium,Organic_Matter,Soil_Moisture,Temperature,Humidity,Rainfall,Wind_Speed,Water_Table,Location,Altitude,Best_Crop
Sandy,5.38,120.59,25.57,97.75,4.78,Moderate,12.79,29.73,1074.17,5.38,7.22,Tropical,1419.23,Sugarcane
Loamy,5.07,294.51,25.57,11.7,2.83,Dry,26.41,67.88,723.0,18.08,6.7,Temperate,1625.95,Sugarcane
Clay,5.06,124.4,86.45,80.28,2.96,Moderate,21.58,60.77,1717.04,0.99,0.8,Tropical,1514.35,Sugarcane
Clay,5.45,262.37,105.03,139.01,4.03,Wet,28.05,60.94,1920.23,0.44,6.38,Arid,557.86,Rice
Loamy,8.49,206.32,71.52,198.8,1.55,Dry,25.89,40.09,1658.47,5.91,9.19,Tropical,687.06,Soybean
Loamy,6.92,102.34,37.35,40.13,3.26,Moderate,19.67,56.56,1163.94,5.28,7.58,Temperate,1804.74,Barley
Clay,7.4,134.46,16.53,225.26,1.36,Dry,36.21,25.4,907.37,6.77,3.85,Temperate,1575.3,Barley
Sandy,7.87,161.51,81.89,242.68,0.53,Wet,32.9,45.13,796.03,11.38,4.4,Arid,1297.4,Rice
Loamy,7.31,86.69,112.22,137.1,3.91,Moderate,21.2,64.68,1073.85,8.33,8.91,Temperate,906.52,Barley
Clay,5.51,97.72,35.45,121.48,2.53,Wet,31.25,73.62,712.03,5.24,3.85,Temperate,138.43,Barley
Clay,8.15,35.86,26.48,56.95,4.02,Dry,15.0,53.76,1245.84,13.84,3.41,Temperate,646.78,Maize
Loamy,7.01,214.76,117.01,12.83,1.06,Dry,33.62,51.2,897.59,7.22,7.11,Temperate,1642.87,Maize
Sandy,7.62,177.44,30.6,67.87,2.56,Wet,22.91,67.37,1019.13,15.77,8.51,Tropical,1341.77,Maize
Loamy,7.79,59.17,96.11,127.7,3.74,Moderate,14.59,86.08,1145.15,7.13,7.1,Temperate,495.02,Rice
Sandy,7.33,43.71,118.92,11.53,4.53,Moderate,38.35,60.07,1007.35,5.89,8.24,Tropical,611.55,Rice
Sandy,6.51,209.46,133.65,51.69,1.37,Dry,23.6,64.48,817.17,16.04,6.08,Temperate,1660.18,Soybean
Sandy,6.71,46.04,109.52,145.41,2.53,Moderate,26.45,83.6,896.09,13.1,3.47,Temperate,1773.94,Sugarcane
Loamy,6.7,66.79,28.56,202.59,1.3,Moderate,32.56,87.68,734.91,13.23,1.98,Arid,1374.2,Barley
Sandy,6.53,250.45,126.17,86.88,4.98,Wet,25.02,47.61,1062.87,19.28,6.87,Arid,1796.39,Rice
Sandy,6.37,89.01,109.09,67.47,4.44,Dry,19.06,66.12,742.31,15.09,5.71,Tropical,1500.46,Wheat
Loamy,6.85,131.16,39.92,236.07,1.31,Wet,19.08,60.1,1036.87,11.88,1.34,Temperate,1012.85,Rice
Sandy,6.99,76.0,109.36,87.34,4.11,Moderate,12.74,86.64,740.92,15.03,7.57,Arid,569.92,Rice
Clay,5.05,264.97,65.16,244.11,2.31,Wet,27.06,36.16,1272.85,0.38,8.45,Temperate,1652.66,Sugarcane
Loamy,5.58,36.06,146.78,143.52,3.72,Dry,26.51,56.39,866.72,7.52,8.32,Arid,1519.1,Maize
Sandy,6.99,119.05,143.38,230.68,3.56,Wet,13.56,47.24,1803.91,6.16,2.38,Tropical,631.74,Soybean
Sandy,6.88,220.73,102.93,22.03,0.97,Moderate,23.34,37.74,1846.34,8.74,6.42,Temperate,1231.89,Maize
Clay,6.99,248.75,117.27,34.75,1.65,Dry,16.28,25.97,1654.61,3.38,0.67,Temperate,531.47,Wheat
Clay,8.36,74.05,114.74,180.36,4.67,Dry,38.05,89.9,1354.31,9.45,3.18,Temperate,1520.13,Barley
Sandy,5.11,278.95,38.96,206.12,1.47,Wet,38.72,44.39,1937.2,12.97,3.17,Temperate,1249.05,Rice
Loamy,6.18,150.88,96.2,249.41,3.89,Moderate,14.38,78.79,1723.28,1.49,5.7,Tropical,1183.92,Wheat
Sandy,5.82,248.93,148.67,65.81,2.25,Moderate,17.77,86.26,1623.03,11.02,5.08,Tropical,1667.28,Barley
Clay,6.42,140.82,62.35,137.95,3.57,Moderate,16.36,86.89,1926.92,3.42,4.13,Temperate,1044.71,Wheat
Sandy,6.48,20.85,7.01,180.19,1.53,Wet,14.72,77.69,1240.25,15.08,8.67,Temperate,1750.01,Barley
Sandy,5.06,90.8,98.1,153.57,3.63,Dry,17.23,59.44,1116.76,2.65,1.13,Temperate,1399.43,Barley
Clay,5.75,69.46,71.84,105.4,0.76,Dry,20.0,89.96,901.06,10.45,8.51,Tropical,1052.51,Barley
Sandy,6.23,286.96,124.56,60.82,2.62,Wet,25.08,53.78,628.68,6.26,3.05,Tropical,1494.66,Barley
Loamy,7.65,188.05,68.05,45.58,3.45,Wet,37.34,29.37,785.12,10.8,8.09,Arid,734.31,Maize
Clay,5.91,258.16,131.36,54.69,4.41,Wet,37.8,73.93,528.82,6.83,4.8,Temperate,456.69,Barley
Loamy,5.62,198.51,113.24,146.89,1.34,Dry,34.73,20.97,1566.8,18.46,8.41,Temperate,1583.13,Sugarcane
Clay,6.19,191.23,83.27,170.58,3.02,Moderate,24.5,25.14,1955.79,1.89,8.49,Temperate,746.56,Rice
Sandy,5.75,225.29,119.94,61.43,4.63,Wet,27.41,70.75,1596.93,7.22,5.26,Temperate,99.16,Sugarcane
Clay,6.55,214.81,116.53,42.15,3.18,Moderate,22.11,81.82,1265.25,5.08,8.08,Arid,1750.11,Soybean
Clay,7.2,226.64,101.28,206.69,1.88,Moderate,30.05,89.2,932.07,12.58,9.56,Temperate,422.81,Rice
Clay,5.01,152.9,131.62,107.66,4.18,Dry,21.95,72.86,665.88,7.19,0.94,Tropical,167.21,Rice
Loamy,8.29,161.95,110.37,22.54,2.13,Moderate,18.44,76.21,634.03,3.79,6.47,Tropical,701.13,Maize
Clay,7.51,196.92,106.66,98.1,3.87,Dry,20.73,39.38,1755.95,10.1,7.73,Arid,497.19,Sugarcane
Clay,6.36,271.76,139.34,163.09,4.88,Wet,33.47,51.32,803.88,15.58,3.04,Temperate,533.45,Rice
Clay,6.95,45.66,143.54,201.43,4.65,Wet,25.3,21.98,1440.95,2.43,4.83,Tropical,1507.23,Sugarcane
Loamy,7.84,27.6,31.77,56.24,1.11,Moderate,31.92,24.47,722.65,12.83,9.76,Arid,735.25,Barley
Loamy,6.98,174.96,139.98,48.38,4.49,Dry,35.76,47.75,1945.82,6.3,4.84,Temperate,498.22,Maize
Loamy,7.32,215.73,142.02,68.09,2.77,Wet,14.92,50.48,1501.87,11.33,0.68,Temperate,351.4,Rice
Loamy,5.46,196.23,83.27,221.93,2.32,Wet,36.13,85.81,1307.28,7.31,1.81,Arid,401.96,Maize
Clay,6.66,52.08,24.15,246.49,1.96,Moderate,13.25,24.5,948.48,1.81,9.51,Arid,563.89,Wheat
Clay,5.15,139.2,54.67,120.61,2.95,Dry,24.38,89.41,563.33,15.69,0.87,Arid,496.17,Soybean
Loamy,8.43,173.82,75.45,171.8,4.57,Moderate,29.26,38.6,1516.8,15.67,7.09,Temperate,1073.11,Rice
Clay,7.41,25.89,91.34,91.01,4.29,Dry,39.57,47.28,1263.6,10.94,2.31,Tropical,1551.17,Barley
Loamy,8.49,131.4,124.36,70.22,4.35,Wet,16.1,81.99,567.65,13.54,2.98,Temperate,1872.72,Soybean
Clay,6.34,279.42,132.19,120.11,4.9,Wet,10.69,46.18,1140.33,13.26,5.45,Tropical,1904.19,Rice
Sandy,5.16,129.81,64.19,176.46,2.89,Moderate,26.5,80.47,1010.07,15.4,1.27,Arid,1897.36,Barley
Loamy,6.07,131.48,88.63,231.1,3.09,Wet,20.21,84.77,796.74,0.75,8.31,Tropical,1477.27,Sugarcane
Loamy,6.58,29.79,29.84,51.79,1.64,Dry,26.46,33.69,1655.62,5.93,6.25,Arid,620.83,Soybean
Sandy,8.0,279.67,113.04,74.73,3.69,Dry,29.69,86.01,1955.82,0.28,1.48,Tropical,1249.5,Maize
Sandy,6.04,40.09,28.23,55.01,1.71,Wet,11.12,53.53,1634.03,18.55,7.73,Temperate,245.51,Maize
Clay,6.87,187.66,111.42,223.52,1.01,Wet,32.9,25.18,912.19,3.54,4.5,Temperate,1794.46,Maize
Sandy,6.76,167.03,21.16,72.66,0.55,Dry,25.58,48.44,1904.23,14.44,3.75,Arid,499.57,Maize
Clay,6.94,134.98,97.22,84.49,0.61,Dry,16.58,59.4,1228.28,17.75,9.97,Temperate,1124.87,Maize
Sandy,8.3,52.86,59.75,76.79,2.72,Dry,30.74,30.82,659.68,3.21,8.43,Tropical,1012.39,Wheat
Loamy,6.25,23.8,147.2,145.37,3.48,Wet,11.04,39.27,1191.46,6.09,4.77,Tropical,573.13,Sugarcane
Sandy,6.72,202.24,109.32,245.68,4.81,Wet,25.69,53.6,908.92,10.72,1.89,Temperate,552.03,Barley
Sandy,8.15,230.2,92.65,129.54,4.83,Dry,29.22,22.23,1325.77,15.53,1.3,Tropical,586.75,Barley
Loamy,5.79,69.96,94.96,232.51,4.64,Wet,18.32,46.25,1830.93,2.14,3.35,Temperate,1199.17,Barley
Loamy,5.76,111.59,61.84,167.74,4.5,Moderate,17.47,39.76,1736.46,10.79,1.06,Arid,292.79,Soybean
Clay,7.13,137.3,101.21,134.66,1.74,Dry,15.61,45.59,1707.47,14.85,0.54,Arid,152.88,Rice
Sandy,6.9,70.8,36.68,83.55,1.33,Dry,39.13,70.3,1163.11,0.38,7.05,Temperate,1179.66,Sugarcane
Sandy,5.26,116.53,79.72,42.25,0.66,Dry,31.46,69.34,1511.26,2.73,7.83,Arid,492.29,Maize
Sandy,6.29,56.86,86.93,52.95,2.76,Moderate,14.9,31.89,568.33,10.05,2.59,Arid,622.61,Soybean
Loamy,7.1,155.56,110.04,201.11,3.81,Wet,33.19,85.12,1161.14,15.85,1.75,Arid,495.21,Rice
Loamy,7.97,277.17,135.18,21.51,3.09,Dry,16.88,80.75,1942.94,12.78,2.32,Arid,1447.18,Barley
Sandy,8.03,26.59,7.58,136.96,3.48,Moderate,14.13,31.46,1123.93,2.81,6.31,Arid,951.5,Maize
Loamy,6.98,239.58,63.85,172.62,1.21,Dry,15.53,38.7,1205.93,10.99,4.66,Temperate,375.91,Sugarcane
Loamy,6.08,64.62,102.86,139.2,0.84,Dry,18.14,24.44,1246.04,11.14,2.2,Temperate,1818.01,Barley
Clay,6.09,175.41,71.71,175.85,4.66,Dry,35.89,72.85,942.32,6.38,1.15,Arid,1587.38,Wheat
Clay,7.5,153.37,64.0,51.67,3.44,Moderate,24.29,22.84,908.34,13.02,7.4,Tropical,1207.39,Rice
Sandy,5.31,238.86,98.95,218.71,3.06,Dry,33.07,22.17,684.76,6.24,2.38,Tropical,909.59,Maize
Loamy,5.6,138.01,76.85,126.51,1.52,Moderate,20.33,60.89,1311.98,19.73,6.39,Tropical,1831.19,Rice
Sandy,8.33,77.42,99.89,81.7,4.14,Wet,36.47,39.12,1526.0,16.82,6.82,Arid,1227.75,Maize
Loamy,6.11,222.66,51.86,207.88,3.56,Dry,22.19,79.32,1320.23,7.37,9.38,Temperate,83.91,Rice
Sandy,7.89,168.2,15.61,185.88,1.91,Dry,23.73,32.55,647.32,2.31,8.05,Arid,1254.6,Maize
Loamy,7.19,161.5,89.35,190.93,1.97,Wet,17.56,58.7,1167.94,2.37,1.73,Tropical,1577.86,Wheat
Sandy,5.33,50.36,127.68,118.07,4.28,Wet,37.6,69.41,1540.87,17.1,6.32,Tropical,1090.87,Wheat
Loamy,7.28,127.17,35.11,244.88,1.29,Wet,35.14,75.4,1997.5,4.63,3.1,Tropical,146.74,Rice
